Classe;Número do RIP;UF;Município;Endereço;Bairro;Conceituação;Tipo Imóvel;Situação da Utilização;Proprietário Oficial;Regime de Utilização;CEP DO IMOVEL;VALOR DO M2 DO TERRENO;VALOR DO M2 DE CONSTRUCAO
DOMINIAL;7107010006887;SP;SAO PAULO;R GENERAL CARNEIRO 115 16 PAVTO EDIFICIO VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010008588;SP;SAO PAULO;R GENERAL SOCRATES 51 E 53-PARTE DO LOTE 04 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107000000487;SP;SAO PAULO;R GENERAL CARNEIRO S/N TERRENO CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010001141;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1804 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010006704;SP;SAO PAULO;R GENERAL CARNEIRO 115 14 PAVTO EDIFICIO VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000003583;SP;SAO PAULO;R GENERAL SOCRATES 9 E 13-PARTE DO LOTE 2 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107000014003;SP;SAO PAULO;R GEN SOCRATES 305 TERRENO CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107010007425;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1404 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000015913;SP;SAO PAULO;R GENERAL SOCRATES 343 LOTE 33 B CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010006372;SP;SAO PAULO;R GENERAL CARNEIRO 115 13 PAVTO EDIFICIO VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010008235;SP;SAO PAULO;R GENERAL SOCRATES 95 E 97 -LOTE 09 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010003608;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 44 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000023428;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 806 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000019749;SP;SAO PAULO;R GENERAL SOCRATES 251 LOTE 24 B CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107000019900;SP;SAO PAULO;R GEN SOCRATES 323 L 32 CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000003664;SP;SAO PAULO;R CORONEL RODOVALHO 284 PARTE DO LOTE 2 CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000019404;SP;SAO PAULO;R GEN SOCRATES 73 E NUMERO 75 -PARTE DO LOTE 6 CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000013546;SP;SAO PAULO;PC PADRE MANUEL DA NOBREGA 21 CONJ 141 EDIF CLAUDIO MONTEIRO SOARES CEP: 01015010;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015010;8328.393442622952;2098.901639344262
DOMINIAL;7107010001737;SP;SAO PAULO;R GEN SOCRATES 389 PARTE DO LOTE 37 CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000021050;SP;SAO PAULO;R GEN SOCRATES 415 LT 39 A CEP: 03632000;PENHA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000011250;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1203 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010011104;SP;SAO PAULO;R GENERAL CARNEIRO 115 PAV 17, EDIF VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000015670;SP;SAO PAULO;R GENERAL CARNEIRO 115 PAV 9 EDIF BANCO CONTINENTAL CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000009603;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 704 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000005012;SP;SAO PAULO;R GENERAL CARNEIRO 47  CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000026877;SP;SAO PAULO;R GENERAL CARNEIRO 115 PAV 7 EDIF BANCO CONTINENTAL CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000010105;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 805 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000009786;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 801 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000026010;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 501 502 503 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000002269;SP;SAO PAULO;R GENERAL SOCRATES 409 LOTE 38B CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010010485;SP;SAO PAULO;R GAL SOCRATES 449 LT E - PARTE DO LOTES 41 42 43 E 44 REM CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107010001303;SP;SAO PAULO;R BOA VISTA 162 PAVTO TERREO DO EDIFICIO BANDEIRANTES CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
DOMINIAL;7107010006968;SP;SAO PAULO;R BOA VISTA 162 15 PAVTO EDIF BANDEIRANTES CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
DOMINIAL;7107010009550;SP;SAO PAULO;R GENERAL CARNEIRO 115 19 PAVTO-EDIFICIO BANCO CONTINENTAL CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010009479;SP;SAO PAULO;R GENERAL CARNEIRO 115 19 PAVTO -EDIFICIO BANCO CONTINENTAL CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010002032;SP;SAO PAULO;R GENERAL CARNEIRO 225 LOJA 1 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000003826;SP;SAO PAULO;R GENERAL SOCRATES 257 LOTE 25 A CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107000023266;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1703 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010010809;SP;SAO PAULO;R GENERAL CARNEIRO 194  CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000013627;SP;SAO PAULO;R GEN SOCRATES 87 APTO 6 EDIF ABRIKIAN CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107010001060;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1702 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010003519;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 43 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000026524;SP;SAO PAULO;R GENERAL SOCRATES 169 LOTE 17 REMANESCENTE CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010005996;SP;SAO PAULO;R BOA VISTA 128 UNIDADE AUTONOMA 1010 CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
DOMINIAL;7107000000800;SP;SAO PAULO;R GENERAL SOCRATES 25 PARTE DO LOTE 2 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010001818;SP;SAO PAULO;R GEN SOCRATES 391 PARTE DO LOTE 37 CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000012655;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1803 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
