classe;numero_do_rip;uf;municipio;endereco;bairro;conceituacao;tipo_imovel;situacao_da_utilizacao;proprietario_oficial;regime_de_utilizacao;cep_do_imovel;valor_do_m2_do_terreno;valor_do_m2_de_construcao;normal_value_terreno;normal_value_construcao
DOMINIAL;7107010006887;SP;SAO PAULO;R GENERAL CARNEIRO 115 16 PAVTO EDIFICIO VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107010008588;SP;SAO PAULO;R GENERAL SOCRATES 51 E 53-PARTE DO LOTE 04 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934;0.8188690467942198;1.0
DOMINIAL;7107000000487;SP;SAO PAULO;R GENERAL CARNEIRO S/N TERRENO CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107010001141;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1804 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107010006704;SP;SAO PAULO;R GENERAL CARNEIRO 115 14 PAVTO EDIFICIO VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107000003583;SP;SAO PAULO;R GENERAL SOCRATES 9 E 13-PARTE DO LOTE 2 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934;0.8188690467942198;1.0
DOMINIAL;7107000014003;SP;SAO PAULO;R GEN SOCRATES 305 TERRENO CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636;1.0;0.539531875927077
DOMINIAL;7107010007425;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1404 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107000015913;SP;SAO PAULO;R GENERAL SOCRATES 343 LOTE 33 B CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934;0.8188690467942198;1.0
DOMINIAL;7107010006372;SP;SAO PAULO;R GENERAL CARNEIRO 115 13 PAVTO EDIFICIO VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107010008235;SP;SAO PAULO;R GENERAL SOCRATES 95 E 97 -LOTE 09 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934;0.8188690467942198;1.0
DOMINIAL;7107010003608;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 44 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.808823529412;1.0;0.2132776047096964
DOMINIAL;7107000023428;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 806 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013985;2270.7062937062938;0.30286407004598703;0.6553458772294707
DOMINIAL;7107000019749;SP;SAO PAULO;R GENERAL SOCRATES 251 LOTE 24 B CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934;0.8188690467942198;1.0
