VALOR DO M2 DO TERRENO;VALOR DO M2 DE CONSTRUCAO
2860.072072072072;2962.198198198198
2219.5546218487393;1450.310924369748
4178.0;2211.0
1270.0;1423.0
3628.0;1894.0
319.0;525.0
676.0;799.0
331.0;777.0
1216.0;1138.0
713.0;1423.0
2794.0;2211.0
2338.0;1642.0
1856.0;1894.0
2064.0;1894.0
643.0;1154.5
1953.0;1894.0
2333.0;1554.0
2730.0;1894.0
1073.0;1171.0
2864.0;1894.0
1640.8;1799.8
3107.0;1894.0
1801.3333333333333;2069.0
269.0;777.0
2474.0;1894.0
2766.0;2052.5
1911.3636363636363;1775.4545454545455
784.0;919.0
746.0;1149.0
1951.0;2737.0
316.0;613.0
3923.0;2288.0
730.0;1423.0
4306.0;2288.0
1132.0;1423.0
3983.0;1894.0
568.0;0.0
897.0;1084.0
4599.0;2288.0
1697.0;2211.0
886.0;1423.0
893.0;1423.0
590.0;1434.0
556.0;777.0
8526.0;1894.0
713.0;1423.0
4054.0;2211.0
150.0;613.0
2192.0;2288.0
1359.0;1642.0
2154.0;1894.0
3536.0;1894.0
1320.0;1773.0
4329.0;2288.0
851.0;1423.0
4928.0;1894.0
1603.0;1255.0
1314.0;1423.0
290.0;525.0
723.0;1171.0
840.0;1171.0
3533.0;2737.0
1999.0;1894.0
595.0;1423.0
3762.0;1894.0
4261.0;2288.0
245.0;525.0
190.5;624.0
385.0;1138.0
65.0;1084.0
1109.0;1171.0
1061.0;1423.0
1442.0;919.0
609.0;919.0
2073.0;1894.0
2922.0;2211.0
5704.0;1894.0
1695.0;1007.0
1165.0;1423.0
614.0;1084.0
1722.0;1894.0
3973.0;1894.0
4169.0;2211.0
1519.0;1423.0
761.0;1423.0
846.0;1423.0
147.0;574.5
565.0;624.0
1121.0;1423.0
1414.0;1894.0
396.0;0.0
144.0;613.0
134.0;525.0
5398.0;1894.0
585.0;2288.0
3639.0;1894.0
2704.0;1894.0
497.0;613.0
315.0;613.0
3214.0;1894.0
698.0;821.0
5337.0;1894.0
4136.0;1894.0
275.5;700.5
1865.0;1894.0
1153.0;1072.3333333333333
1339.0;1642.0
1754.0;1658.5
448.0;0.0
1223.0;1171.0
942.0;1171.0
2527.0;1554.0
2527.0;1554.0
2527.0;1478.0
410.0;525.0
1207.0;1773.0
1207.0;1773.0
1207.0;1773.0
1207.0;1773.0
2792.0;1894.0
307.0;613.0
516.0;525.0
728.25;1015.0
503.0;1171.0
527.0;1084.0
453.0;399.5
43.0;0.0
291.0;0.0
2675.265625;1452.1614583333333
7034.0;2288.0
7034.0;2288.0
7034.0;2288.0
7034.0;2288.0
698.0;1543.0
1073.0;1423.0
1073.0;1423.0
396.0;0.0
3842.0;2737.0
3842.0;2737.0
1073.0;1423.0
7034.0;2288.0
7034.0;2288.0
1697.0;1423.0
3742.0;2737.0
1311.0;1423.0
1311.0;1423.0
3842.0;2737.0
636.0;1171.0
790.0;1149.0
1073.0;1423.0
1073.0;1423.0
1073.0;1423.0
1073.0;1423.0
1073.0;1423.0
1841.0;1894.0
1073.0;1423.0
1478.0;1171.0
335.0;799.0
7281.0;2211.0
335.0;777.0
22761.0;2288.0
2028.1640091116174;1463.123006833713
4542.0;1445.0
775.0;1423.0
4542.0;1445.0
1492.0;1894.0
1414.0;1642.0
1607.0;1149.0
1232.0;0.0
7410.0;2211.0
385.0;1138.0
535.0;624.0
418.0;1084.0
179.0;821.0
179.0;821.0
1789.0;1894.0
387.0;624.0
1342.0;1149.0
1322.0;1423.0
1155.0;1171.0
3880.0;1894.0
122.0;0.0
770.0;1171.0
479.0;777.0
274.0;777.0
